episode,reward,avg50,avg100,epsilon,steps
133,-53.98,-63.29,-94.16,0.51685,103
134,4.07,-61.69,-93.23,0.51427,183
135,-61.62,-61.2,-91.35,0.51171,117
136,-3.13,-57.45,-90.44,0.50916,137
137,-58.7,-56.66,-90.4,0.50662,160
138,-68.54,-56.91,-89.73,0.50409,318
139,-23.84,-56.81,-89.24,0.50158,208
140,28.18,-55.0,-87.24,0.49907,1000
141,8.93,-54.48,-85.63,0.49659,1000
142,-25.26,-53.02,-84.83,0.49411,151
143,-14.06,-51.9,-83.4,0.49164,75
144,-49.81,-50.27,-82.19,0.48919,99
145,26.3,-45.9,-80.49,0.48675,180
146,-32.47,-45.93,-80.01,0.48432,286
147,-46.74,-45.5,-78.77,0.48191,179
148,-12.3,-44.92,-77.86,0.47951,180
149,-10.99,-43.82,-76.96,0.47711,1000
150,-295.59,-50.83,-78.69,0.47473,381
151,-11.84,-49.4,-77.41,0.47237,145
152,11.9,-46.86,-76.43,0.47001,1000
153,-41.81,-46.9,-75.8,0.46767,1000
154,-14.33,-46.44,-73.25,0.46533,137
155,-224.31,-46.74,-72.29,0.46301,336
156,7.46,-45.34,-71.02,0.4607,116
157,-23.96,-45.19,-69.01,0.45841,522
158,-121.47,-46.81,-68.72,0.45612,251
159,-219.89,-47.58,-69.57,0.45384,212
160,-11.01,-46.59,-69.11,0.45158,113
161,-26.22,-45.8,-66.86,0.44933,1000
162,2.3,-45.01,-65.36,0.44709,1000
163,23.2,-44.43,-65.24,0.44486,1000
164,-13.85,-43.74,-64.57,0.44264,1000
165,21.67,-42.22,-63.61,0.44043,93
166,-87.97,-42.53,-63.74,0.43823,285
167,-4.88,-42.08,-62.37,0.43605,1000
168,40.49,-41.11,-61.2,0.43387,1000
169,11.57,-40.78,-58.65,0.43171,1000
170,-74.32,-41.52,-58.64,0.42956,1000
171,-214.78,-42.04,-58.79,0.42741,319
172,-316.79,-46.82,-60.64,0.42528,796
173,5.54,-46.12,-60.07,0.42316,1000
174,-81.24,-46.77,-59.96,0.42105,186
175,-51.86,-46.15,-59.38,0.41895,327
176,-68.6,-47.42,-58.82,0.41686,380
177,-7.8,-46.64,-57.8,0.41478,346
178,-2.06,-46.25,-57.98,0.41271,1000
179,11.9,-43.88,-56.68,0.41066,1000
180,-103.32,-45.34,-56.39,0.40861,1000
181,20.47,-45.13,-55.28,0.40657,1000
182,62.12,-43.87,-53.99,0.40454,133
183,-18.22,-43.15,-53.22,0.40252,1000
184,-160.88,-46.45,-54.07,0.40052,208
185,-256.6,-50.35,-55.78,0.39852,799
186,1.88,-50.25,-53.85,0.39653,1000
187,-250.68,-54.09,-55.38,0.39455,728
188,-9.67,-52.91,-54.91,0.39259,1000
189,-37.4,-53.18,-55.0,0.39063,1000
190,-18.38,-54.11,-54.56,0.38868,1000
191,33.48,-53.62,-54.05,0.38674,1000
192,-6.78,-53.25,-53.13,0.38481,1000
193,-28.17,-53.53,-52.72,0.38289,1000
194,116.09,-50.22,-50.24,0.38098,1000
195,87.58,-48.99,-47.45,0.37908,1000
196,-69.17,-49.73,-47.83,0.37719,223
197,-110.58,-51.0,-48.25,0.37531,219
198,-34.24,-51.44,-48.18,0.37344,138
199,56.77,-50.09,-46.95,0.37158,1000
200,21.86,-43.74,-47.28,0.36972,161
201,50.3,-42.49,-45.95,0.36788,1000
202,-25.62,-43.24,-45.05,0.36604,221
203,61.18,-41.18,-44.04,0.36422,1000
204,-171.52,-44.33,-45.38,0.3624,216
205,16.14,-39.52,-43.13,0.36059,82
206,-9.38,-39.86,-42.6,0.3588,358
207,-44.07,-40.26,-42.73,0.35701,1000
208,1.67,-37.8,-42.3,0.35523,1000
209,-46.75,-34.33,-40.96,0.35345,1000
210,-14.89,-34.41,-40.5,0.35169,290
211,-152.95,-36.94,-41.37,0.34994,131
212,-31.6,-37.62,-41.32,0.34819,1000
213,153.58,-35.01,-39.72,0.34646,1000
214,26.2,-34.21,-38.98,0.34473,1000
215,84.56,-32.96,-37.59,0.34301,1000
216,-70.39,-32.6,-37.57,0.3413,822
217,-23.03,-32.97,-37.52,0.3396,75
218,41.0,-32.96,-37.03,0.3379,1000
219,23.05,-32.73,-36.75,0.33622,1000
220,-126.15,-33.76,-37.64,0.33454,260
221,36.35,-28.74,-35.39,0.33287,1000
222,36.08,-21.68,-34.25,0.33121,179
223,63.64,-20.52,-33.32,0.32956,1000
224,53.85,-17.82,-32.29,0.32792,1000
225,-80.9,-18.4,-32.27,0.32628,1000
226,92.16,-15.19,-31.3,0.32465,1000
227,-35.18,-15.73,-31.19,0.32303,63
228,26.38,-15.16,-30.71,0.32142,1000
229,-16.96,-15.74,-29.81,0.31982,76
230,-15.27,-13.98,-29.66,0.31822,136
231,36.91,-13.65,-29.39,0.31664,1000
232,36.98,-14.16,-29.01,0.31506,1000
233,-96.82,-15.73,-29.44,0.31349,209
234,-347.66,-19.46,-32.96,0.31192,998
235,46.72,-13.4,-31.87,0.31037,1000
236,30.52,-12.82,-31.54,0.30882,1000
237,-57.09,-8.95,-31.52,0.30728,1000
238,-25.74,-9.27,-31.09,0.30575,1000
239,-55.4,-9.63,-31.41,0.30422,535
240,-31.43,-9.89,-32.0,0.3027,1000
241,9.13,-10.38,-32.0,0.30119,1000
242,53.91,-9.17,-31.21,0.29969,1000
243,12.17,-8.36,-30.95,0.2982,1000
244,-170.22,-14.09,-32.15,0.29671,380
245,98.51,-13.87,-31.43,0.29523,1000
246,125.38,-9.98,-29.85,0.29376,1000
247,34.84,-7.07,-29.04,0.29229,1000
248,57.02,-5.24,-28.34,0.29083,1000
249,-35.03,-7.08,-28.58,0.28938,217
250,107.08,-5.38,-24.56,0.28794,1000
251,18.65,-6.01,-24.25,0.2865,1000
252,42.41,-4.65,-23.95,0.28508,1000
253,72.29,-4.43,-22.8,0.28365,1000
254,44.97,-0.1,-22.21,0.28224,1000
255,119.14,1.96,-18.78,0.28083,1000
256,177.77,5.71,-17.07,0.27943,766
257,4.28,6.67,-16.79,0.27804,1000
258,64.59,7.93,-14.93,0.27665,1000
259,103.24,10.93,-11.7,0.27527,1000
260,-77.76,9.68,-12.37,0.2739,175
261,130.69,15.35,-10.8,0.27253,1000
262,161.33,19.21,-9.21,0.27117,940
263,47.79,17.09,-8.96,0.26982,1000
264,116.49,18.9,-7.66,0.26847,1000
265,101.09,19.23,-6.86,0.26714,1000
266,91.88,22.47,-5.07,0.2658,1000
267,26.68,23.47,-4.75,0.26448,1000
268,-72.27,21.2,-5.88,0.26316,578
269,-75.87,19.22,-6.75,0.26185,1000
270,69.75,23.14,-5.31,0.26054,1000
271,44.49,23.3,-2.72,0.25924,1000
272,-28.29,22.02,0.17,0.25795,1000
273,6.01,20.86,0.17,0.25666,1000
274,91.08,21.61,1.89,0.25538,1000
275,13.99,23.51,2.55,0.25411,1000
276,218.0,26.02,5.42,0.25284,990
277,138.42,29.5,6.88,0.25158,1000
278,-89.86,27.17,6.0,0.25032,124
279,-101.96,25.47,4.86,0.24908,182
280,-13.87,25.5,5.76,0.24783,1000
281,-24.4,24.27,5.31,0.2466,1000
282,9.07,23.71,4.78,0.24537,1000
283,186.27,29.38,6.82,0.24414,676
284,89.45,38.12,9.33,0.24293,1000
285,43.01,38.04,12.32,0.24171,1000
286,106.35,39.56,13.37,0.24051,1000
287,201.85,44.74,17.89,0.23931,991
288,-102.26,43.21,16.97,0.23812,156
289,63.1,45.58,17.97,0.23693,1000
290,10.06,46.41,18.26,0.23575,1000
291,52.22,47.27,18.45,0.23457,1000
292,-56.08,45.07,17.95,0.2334,416
293,56.03,45.95,18.79,0.23224,1000
294,-31.9,48.71,17.31,0.23108,1000
295,-106.87,44.61,15.37,0.22993,207
296,-82.35,40.45,15.24,0.22878,143
297,95.67,41.67,17.3,0.22764,1000
298,-51.82,39.49,17.12,0.2265,1000
299,-79.91,38.59,15.76,0.22537,143
300,93.0,38.31,16.47,0.22425,1000
301,155.24,41.05,17.52,0.22313,810
302,97.54,42.15,18.75,0.22202,1000
303,226.64,45.23,20.4,0.22091,489
304,97.15,46.28,23.09,0.21981,1000
305,76.84,45.43,23.7,0.21871,1000
306,-61.63,40.64,23.18,0.21762,158
307,67.35,41.91,24.29,0.21654,1000
308,72.04,42.05,24.99,0.21546,1000
309,-15.86,39.67,25.3,0.21438,1000
310,-114.48,38.94,24.31,0.21331,152
311,26.23,36.85,26.1,0.21225,1000
312,114.06,35.9,27.56,0.21119,1000
313,57.45,36.1,26.59,0.21014,1000
314,-98.42,31.8,25.35,0.20909,176
315,-115.94,27.46,23.34,0.20805,212
316,107.41,27.77,25.12,0.20701,1000
317,-65.38,25.93,24.7,0.20598,1000
318,110.06,29.57,25.39,0.20495,1000
319,-152.54,28.04,23.63,0.20393,181
320,181.56,30.28,26.71,0.20291,484
321,83.12,31.05,27.18,0.2019,1000
322,-62.76,30.36,26.19,0.20089,1000
323,80.42,31.85,26.36,0.19989,1000
324,-67.3,28.68,25.14,0.19889,161
325,-119.03,26.02,24.76,0.1979,257
326,134.28,24.35,25.18,0.19691,614
327,174.38,25.06,27.28,0.19593,854
328,160.68,30.08,28.62,0.19495,713
329,137.28,34.86,30.17,0.19398,793
330,181.37,38.76,32.13,0.19301,672
331,173.65,42.73,33.5,0.19205,836
332,237.2,47.29,35.5,0.19109,664
333,-11.25,43.34,36.36,0.19014,1000
334,209.67,45.74,41.93,0.18919,346
335,232.58,49.53,43.79,0.18825,455
336,18.96,47.79,43.67,0.18731,1000
337,-82.81,42.09,43.42,0.18637,154
338,33.92,44.82,44.01,0.18544,1000
339,79.78,45.15,45.36,0.18452,1000
340,56.1,46.07,46.24,0.1836,1000
341,-35.37,44.32,45.79,0.18268,621
342,73.72,46.91,45.99,0.18177,1000
343,-85.63,44.08,45.01,0.18087,208
344,11.11,44.94,46.83,0.17996,1000
345,53.08,48.14,46.37,0.17907,1000
346,-116.3,47.46,43.96,0.17817,416
347,-68.66,44.17,42.92,0.17728,203
348,196.29,49.14,44.31,0.1764,477
349,163.91,54.01,46.3,0.17552,957
350,-66.51,50.82,44.57,0.17464,183
351,250.96,52.74,46.89,0.17377,594
352,-95.75,48.87,45.51,0.17291,132
353,178.56,47.91,46.57,0.17204,566
354,135.93,48.69,47.48,0.17119,823
355,-30.15,46.55,45.99,0.17033,118
356,197.49,51.73,46.19,0.16948,435
357,117.35,52.73,47.32,0.16864,1000
358,-225.09,46.79,44.42,0.1678,526
359,-83.89,45.43,42.55,0.16696,141
360,-23.49,47.25,43.09,0.16613,1000
361,-79.48,45.13,40.99,0.1653,240
362,241.66,47.68,41.79,0.16447,421
363,-29.42,45.95,41.02,0.16365,1000
364,203.36,51.98,41.89,0.16284,814
365,195.33,58.21,42.83,0.16203,561
366,-78.48,54.49,41.13,0.16122,171
367,116.58,58.13,42.03,0.16041,1000
368,-13.78,55.65,42.61,0.15961,1000
369,42.12,59.54,43.79,0.15882,103
370,-69.12,54.53,42.4,0.15803,174
371,181.61,56.5,43.78,0.15724,672
372,259.71,62.95,46.66,0.15645,400
373,-72.81,59.89,45.87,0.15567,196
374,159.31,64.42,46.55,0.1549,563
375,-82.14,65.16,45.59,0.15412,169
376,-57.35,61.32,42.83,0.15335,173
377,101.45,59.86,42.46,0.15259,1000
378,215.26,60.96,45.52,0.15183,599
379,-219.67,53.82,44.34,0.15107,442
380,-78.09,48.63,43.7,0.15032,179
381,220.92,49.57,46.15,0.14957,488
382,151.15,47.85,47.57,0.14882,477
383,96.31,50.0,46.67,0.14808,1000
384,-70.83,44.39,45.07,0.14734,170
385,-106.14,37.62,43.58,0.14661,198
386,135.63,39.95,43.87,0.14588,1000
387,204.58,45.7,43.9,0.14515,436
388,151.13,48.05,46.43,0.14442,867
389,-86.44,44.72,44.94,0.1437,207
390,106.06,45.72,45.9,0.14299,1000
391,158.5,49.6,46.96,0.14227,845
392,-64.89,46.83,46.87,0.14156,202
393,241.21,53.36,48.72,0.14086,279
394,28.74,53.71,49.33,0.14016,1000
395,149.76,55.65,51.89,0.13946,823
396,179.74,61.57,54.52,0.13876,805
397,249.74,67.94,56.06,0.13807,384
398,191.25,67.84,58.49,0.13738,990
399,13.63,64.83,59.42,0.1367,1000
400,26.6,66.69,58.76,0.13601,1000
401,-70.51,60.26,56.5,0.13534,190
402,207.63,66.33,57.6,0.13466,532
403,214.87,67.06,57.48,0.13399,398
404,-86.0,62.62,55.65,0.13332,199
405,231.37,67.85,57.2,0.13266,282
406,98.35,65.87,58.8,0.13199,1000
407,191.16,67.34,60.04,0.13134,927
408,206.11,75.97,61.38,0.13068,522
409,226.0,82.16,63.8,0.13003,418
410,136.34,85.36,66.3,0.12938,1000
411,-53.98,85.87,65.5,0.12873,1000
412,-35.26,80.33,64.01,0.12809,1000
413,209.77,85.12,65.53,0.12745,336
414,196.02,84.97,68.48,0.12682,391
415,237.32,85.81,72.01,0.12619,298
416,88.92,89.16,71.82,0.12556,934
417,-62.37,85.58,71.85,0.12493,208
418,89.19,87.64,71.64,0.12431,1000
419,-88.18,85.03,72.29,0.12369,1000
420,206.69,90.55,72.54,0.12307,805
421,223.63,91.39,73.94,0.12246,388
422,52.78,87.25,75.1,0.12185,1000
423,-56.89,87.57,73.73,0.12124,1000
424,207.4,88.53,76.47,0.12063,652
425,74.32,91.66,78.41,0.12003,1000
426,213.49,97.08,79.2,0.11943,347
427,-202.84,90.99,75.43,0.11884,146
428,173.31,90.15,75.55,0.11824,629
429,73.5,96.01,74.92,0.11765,1000
430,231.7,102.21,75.42,0.11707,294
431,-49.7,96.8,73.19,0.11648,1000
432,55.44,94.88,71.37,0.1159,1000
433,206.52,97.09,73.55,0.11533,360
434,227.05,103.05,73.72,0.11475,295
435,192.49,109.02,73.32,0.11418,517
436,215.29,110.61,75.28,0.11361,471
437,70.79,107.94,76.82,0.11304,1000
438,218.32,109.28,78.66,0.11248,397
439,210.24,115.21,79.97,0.11192,597
440,227.44,117.64,81.68,0.11136,359
441,172.69,117.92,83.76,0.1108,588
442,232.94,123.88,85.35,0.11025,413
443,-44.06,118.18,85.77,0.1097,285
444,218.49,121.97,87.84,0.10915,521
445,273.28,124.44,90.04,0.10861,385
